model,seed,lr,batch_size,epochs,val_ce,val_acc,val_f1,val_macro_f1
flang-roberta,5768,2e-05,16,13,1.309,0.6465,0.6513,0.6417
flang-roberta,5768,1e-05,16,15,1.2439,0.6566,0.6595,0.6494
flang-roberta,5768,5e-06,16,19,1.1585,0.6667,0.669,0.6558
flang-roberta,5768,2e-05,8,12,1.2904,0.6667,0.6699,0.6568
flang-roberta,5768,1e-05,8,15,1.3992,0.6667,0.6697,0.6528
flang-roberta,5768,5e-06,8,16,1.2395,0.6591,0.663,0.6501
flang-roberta,78516,2e-05,32,11,0.855,0.6843,0.6927,0.6677
flang-roberta,78516,1e-05,32,22,1.3223,0.6843,0.6905,0.6625
flang-roberta,78516,5e-06,32,23,1.1446,0.6995,0.6988,0.6644
flang-roberta,78516,2e-05,16,24,1.5131,0.6919,0.6994,0.668
flang-roberta,78516,1e-05,16,15,1.0466,0.7096,0.7144,0.6822
flang-roberta,78516,5e-06,16,25,1.4049,0.697,0.6978,0.6636
flang-roberta,78516,2e-05,8,10,0.8699,0.6894,0.6886,0.6609
flang-roberta,78516,1e-05,8,25,1.5836,0.7045,0.7066,0.6753
flang-roberta,78516,5e-06,8,18,1.2107,0.7121,0.7075,0.675
flang-roberta,944601,2e-05,32,15,1.1157,0.6919,0.691,0.6642
flang-roberta,944601,1e-05,32,15,1.0284,0.6591,0.6639,0.6431
flang-roberta,944601,5e-06,32,25,1.1384,0.6843,0.6875,0.6628
flang-roberta,944601,2e-05,16,12,1.0745,0.6717,0.6759,0.6592
flang-roberta,944601,1e-05,16,17,1.1868,0.6944,0.6965,0.6698
flang-roberta,944601,5e-06,16,16,0.974,0.6818,0.6848,0.656
flang-roberta,944601,2e-05,8,24,1.5336,0.7323,0.7302,0.7081
flang-roberta,944601,1e-05,8,16,1.2569,0.697,0.6999,0.6805
flang-roberta,944601,5e-06,8,11,0.8405,0.654,0.6625,0.6448
